"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JLSCSYDG","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150814_00000023/flavell-te-ururoa-hineuru-claims-settlement-bill-first","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:39:48","2017-11-28 22:39:48","2017-11-28 22:39:48","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/EJEIZYK6/flavell-te-ururoa-hineuru-claims-settlement-bill-first.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATJQEMUS","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150814_00000169/flavell-te-ururoa-ng%C4%81ruahine-claims-settlement-bill","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:38:24","2017-11-28 22:38:24","2017-11-28 22:38:24","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/2YQ4M8BZ/flavell-te-ururoa-ngāruahine-claims-settlement-bill.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96F4JKFD","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150814_00000334/flavell-te-ururoa-hawke-s-bay-regional-planning-committee","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:38:07","2017-11-28 22:38:07","2017-11-28 22:38:07","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/DEBGSZHW/flavell-te-ururoa-hawke-s-bay-regional-planning-committee.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTHQ7UA2","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150911_00000327/flavell-te-ururoa-third-readings","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:37:36","2017-11-28 22:37:36","2017-11-28 22:37:36","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/JYR7T2VC/flavell-te-ururoa-third-readings.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHNSEWQA","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20150909_00000051/flavell-te-ururoa-motions-queen-elizabeth-ii-longest-reigning","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:37:02","2017-11-28 22:37:02","2017-11-28 22:37:02","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/YSTGHJTB/flavell-te-ururoa-motions-queen-elizabeth-ii-longest-reigning.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8R3CFCJ5","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20151117_00000054/flavell-te-ururoa-motions-paris-terrorist-attacks","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:36:24","2017-11-28 22:36:24","2017-11-28 22:36:24","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/IIBUA8TC/flavell-te-ururoa-motions-paris-terrorist-attacks.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DDPSMACU","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20151118_00000600/flavell-te-ururoa-obituaries-jonah-lomu","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:36:00","2017-11-28 22:36:00","2017-11-28 22:36:00","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/RB3V8V49/flavell-te-ururoa-obituaries-jonah-lomu.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FLK9KMX4","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20151203_00000834/flavell-te-ururoa-resource-legislation-amendment-bill","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:35:32","2017-11-28 22:35:32","2017-11-28 22:35:32","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/YHNZJQX2/flavell-te-ururoa-resource-legislation-amendment-bill.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9LHDXYM","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20151209_00001258/flavell-te-ururoa-adjournment-sittings-of-the-house","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:35:09","2017-11-28 22:35:09","2017-11-28 22:35:09","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/AJPHWX37/flavell-te-ururoa-adjournment-sittings-of-the-house.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEVLLQUS","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/51HansS_20160209_00000171/flavell-te-ururoa-debate-on-prime-minister-s-statement","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:34:35","2017-11-28 22:34:35","2017-11-28 22:34:35","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/RVWCAAJQ/flavell-te-ururoa-debate-on-prime-minister-s-statement.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
